test_id,model,startTimestamp,endTimestamp,dataset,datasetSize,threads,graphElapsedTime,tsElapsedTime,indexTime,elapsedTime,numMachines,storage,tsStorage,gsStorage,tsCard,gsCard
6336140a-c837-4765-9224-459a7d628dc8,stgraph,1774875333.288,1774875354.243,mimic-iv,1692200,1,716,8324,0,9040,-1,-2,-1,-1,1666288,5995
ac7fd6ef-6e64-4a1a-9675-caf4a9ddcfa8,stgraph,1774875354.402,1774875560.838,mimic-iv,16922000,1,11755,75242,0,86997,-1,-2,-1,-1,16705984,133754
1b3d9f90-e94a-47aa-a083-7291ca870840,stgraph,1774875562.616,1774876285.550,mimic-iv,9223372036854775807,1,704336,0,0,704336,-1,-2,-1,-1,0,9446926
6ca44e75-575f-4e12-9d85-0b6b261bd981,stgraph,1774878049.180,1774880331.804,mimic-iv,9223372036854775807,1,637765,792853,0,1430618,-1,-2,-1,-1,166435273,9446926
a109e208-f4d3-4e52-bc7b-4c177b3c9c49,stgraph,1774880331.950,1774880356.296,mimic-iv,1692200,1,2899,9882,0,12781,-1,-2,-1,-1,1666288,5995
3a856692-f056-4c8e-88b7-19325d2e0228,stgraph,1774880358.811,1774880549.465,mimic-iv,16922000,1,8168,93080,0,101248,-1,-2,-1,-1,16705984,133754
29740d37-6130-4305-82b4-d416158dc952,stgraph,1774880551.354,1774883523.380,mimic-iv,9223372036854775807,1,717835,1406532,0,2124367,1,-2,-1,-1,166435273,9446926
265185a8-9b58-41dd-9b81-89d3d03582b0,stgraph,1774883527.588,1774884959.437,mimic-iv,9223372036854775807,16,735457,335541,0,1070998,1,-2,-1,-1,166435273,9446926
51c2a409-7f95-4e0e-ab4b-dedff6855e7b,stgraph,1774884959.785,1774884986.254,mimic-iv,1692200,1,352,13705,0,14057,1,-2,-1,-1,1666288,5995
1a525a64-ffa9-4426-ac5e-a7c0aa696b18,stgraph,1774884986.407,1774885005.072,mimic-iv,1692200,16,4336,5090,0,9426,1,-2,-1,-1,1666288,5995
e72eabd0-6c1c-47dd-8f5e-5963d058a2c0,stgraph,1774885005.674,1774885237.707,mimic-iv,16922000,1,10914,131385,0,142299,1,-2,-1,-1,16705984,133754
a4351a85-4d3d-4dc6-9107-9de5e027c027,stgraph,1774885238.157,1774885336.969,mimic-iv,16922000,16,13612,52901,0,66513,1,-2,-1,-1,16705984,133754
9fdd356f-5ed9-495c-bc37-64f73b46ef0c,stgraph,1774885341.833,1774888719.763,mimic-iv,9223372036854775807,1,608025,1910512,0,2518537,2,-2,-1,-1,166435273,9446926
93e079ea-0e48-42cc-ae52-e70d7596f911,stgraph,1774888725.995,1774890048.627,mimic-iv,9223372036854775807,16,665455,323862,0,989317,2,-2,-1,-1,166435273,9446926
5e7b7f65-183a-44b8-9761-cdb860322190,stgraph,1774890049.073,1774890080.787,mimic-iv,1692200,1,325,18879,0,19204,2,-2,-1,-1,1666288,5995
b56ba20b-ed62-47f1-a6ab-fdec3c1ee01d,stgraph,1774890080.942,1774890099.435,mimic-iv,1692200,16,4588,4584,0,9172,2,-2,-1,-1,1666288,5995
39821e83-e724-4506-8ebf-d428dd0e0658,stgraph,1774890100.151,1774890364.316,mimic-iv,16922000,1,10470,162739,0,173209,2,-2,-1,-1,16705984,133754
c3861282-048a-4b6e-8847-53757224a28f,stgraph,1774890364.746,1774890455.274,mimic-iv,16922000,16,12114,50337,0,62451,2,-2,-1,-1,16705984,133754
b1f3a9d3-77cb-4682-abbb-6163f849fb60,stgraph,1774890461.891,1774894414.744,mimic-iv,9223372036854775807,1,626524,2466403,0,3092927,4,-2,-1,-1,166435273,9446926
fb7679a8-51c9-4ce4-9a71-e49e13a6a873,stgraph,1774894420.267,1774895894.256,mimic-iv,9223372036854775807,16,665624,298364,0,963988,4,-2,-1,-1,166435273,9446926
7ea21682-9826-4717-8c0f-45221574700f,stgraph,1774895894.717,1774895918.272,mimic-iv,1692200,1,313,11116,0,11429,4,-2,-1,-1,1666288,5995
