dataset,datasetSize,queryid,queryMode,elapsedTime,cardinality,cardinality_GT,queryType,cardinality_ratio
synth,Large,SynthBy_foo_100,NAIVE,0.032,1.0,100,SynthBy,0.01
synth,Large,SynthBy_foo_100,OPTIMIZED,0.021,1.0,100,SynthBy,0.01
synth,Large,SynthBy_foo_12800,NAIVE,0.156,1.0,12800,SynthBy,7.8125e-05
synth,Large,SynthBy_foo_12800,OPTIMIZED,0.027,1.0,12800,SynthBy,7.8125e-05
synth,Large,SynthBy_foo_1600,NAIVE,0.038,1.0,1600,SynthBy,0.000625
synth,Large,SynthBy_foo_1600,OPTIMIZED,0.018,1.0,1600,SynthBy,0.000625
synth,Large,SynthBy_foo_200,NAIVE,0.016,1.0,200,SynthBy,0.005
synth,Large,SynthBy_foo_200,OPTIMIZED,0.015,1.0,200,SynthBy,0.005
synth,Large,SynthBy_foo_25600,NAIVE,0.35,1.0,25600,SynthBy,3.90625e-05
synth,Large,SynthBy_foo_25600,OPTIMIZED,0.034,1.0,25600,SynthBy,3.90625e-05
synth,Large,SynthBy_foo_3200,NAIVE,0.055,1.0,3200,SynthBy,0.0003125
synth,Large,SynthBy_foo_3200,OPTIMIZED,0.019,1.0,3200,SynthBy,0.0003125
synth,Large,SynthBy_foo_400,NAIVE,0.017,1.0,400,SynthBy,0.0025
synth,Large,SynthBy_foo_400,OPTIMIZED,0.015,1.0,400,SynthBy,0.0025
synth,Large,SynthBy_foo_51200,NAIVE,0.416,1.0,51200,SynthBy,1.953125e-05
synth,Large,SynthBy_foo_51200,OPTIMIZED,0.048,1.0,51200,SynthBy,1.953125e-05
synth,Large,SynthBy_foo_6400,NAIVE,0.094,1.0,6400,SynthBy,0.00015625
synth,Large,SynthBy_foo_6400,OPTIMIZED,0.025,1.0,6400,SynthBy,0.00015625
synth,Large,SynthBy_foo_800,NAIVE,0.024,1.0,800,SynthBy,0.00125
synth,Large,SynthBy_foo_800,OPTIMIZED,0.015,1.0,800,SynthBy,0.00125
synth,Large,SynthFilterIdx_foo_100,NAIVE,0.018,50.0,100,SynthFilterIdx,0.5
synth,Large,SynthFilterIdx_foo_100,OPTIMIZED,0.011,50.0,100,SynthFilterIdx,0.5
synth,Large,SynthFilterIdx_foo_12800,NAIVE,0.108,6400.0,12800,SynthFilterIdx,0.5
synth,Large,SynthFilterIdx_foo_12800,OPTIMIZED,0.072,6400.0,12800,SynthFilterIdx,0.5
synth,Large,SynthFilterIdx_foo_1600,NAIVE,0.026,800.0,1600,SynthFilterIdx,0.5
synth,Large,SynthFilterIdx_foo_1600,OPTIMIZED,0.017,800.0,1600,SynthFilterIdx,0.5
synth,Large,SynthFilterIdx_foo_200,NAIVE,0.014,100.0,200,SynthFilterIdx,0.5
synth,Large,SynthFilterIdx_foo_200,OPTIMIZED,0.012,100.0,200,SynthFilterIdx,0.5
synth,Large,SynthFilterIdx_foo_25600,NAIVE,0.221,12800.0,25600,SynthFilterIdx,0.5
synth,Large,SynthFilterIdx_foo_25600,OPTIMIZED,0.117,12800.0,25600,SynthFilterIdx,0.5
synth,Large,SynthFilterIdx_foo_3200,NAIVE,0.035,1600.0,3200,SynthFilterIdx,0.5
synth,Large,SynthFilterIdx_foo_3200,OPTIMIZED,0.024,1600.0,3200,SynthFilterIdx,0.5
synth,Large,SynthFilterIdx_foo_400,NAIVE,0.014,200.0,400,SynthFilterIdx,0.5
synth,Large,SynthFilterIdx_foo_400,OPTIMIZED,0.013,200.0,400,SynthFilterIdx,0.5
synth,Large,SynthFilterIdx_foo_51200,NAIVE,0.394,25600.0,51200,SynthFilterIdx,0.5
synth,Large,SynthFilterIdx_foo_51200,OPTIMIZED,0.222,25600.0,51200,SynthFilterIdx,0.5
synth,Large,SynthFilterIdx_foo_6400,NAIVE,0.061,3200.0,6400,SynthFilterIdx,0.5
synth,Large,SynthFilterIdx_foo_6400,OPTIMIZED,0.038,3200.0,6400,SynthFilterIdx,0.5
synth,Large,SynthFilterIdx_foo_800,NAIVE,0.022,400.0,800,SynthFilterIdx,0.5
synth,Large,SynthFilterIdx_foo_800,OPTIMIZED,0.015,400.0,800,SynthFilterIdx,0.5
synth,Large,SynthFilterProp_foo_100,NAIVE,0.013,50.0,100,SynthFilterProp,0.5
synth,Large,SynthFilterProp_foo_100,OPTIMIZED,0.011,50.0,100,SynthFilterProp,0.5
synth,Large,SynthFilterProp_foo_12800,NAIVE,0.111,6400.0,12800,SynthFilterProp,0.5
