test_id,model,startTimestamp,endTimestamp,dataset,datasetSize,threads,graphElapsedTime,tsElapsedTime,elapsedTime,numMachines,storage
3479566a-9849-4ab3-9e4d-5a01ed2cec11,STGraph,1757339718,1757339823,smartbench,small,1,43643,61529,105172,1,18
3479566a-9849-4ab3-9e4d-5a01ed2cec11,STGraph,1757339838,1757339943,smartbench,small,1,38071,66990,105061,1,18
3479566a-9849-4ab3-9e4d-5a01ed2cec11,STGraph,1757339961,1757340081,smartbench,small,1,37532,83007,120539,1,18
3479566a-9849-4ab3-9e4d-5a01ed2cec11,STGraph,1757340110,1757340232,smartbench,small,1,36280,85014,121294,1,18
3479566a-9849-4ab3-9e4d-5a01ed2cec11,STGraph,1757340254,1757340371,smartbench,small,1,36402,79719,116121,1,18
b339667b-304a-4990-af1d-ad90d5855611,STGraph,1757340662,1757340763,smartbench,small,2,37636,63060,100696,1,18
b339667b-304a-4990-af1d-ad90d5855611,STGraph,1757340780,1757340886,smartbench,small,2,37423,68125,105548,1,18
b339667b-304a-4990-af1d-ad90d5855611,STGraph,1757340903,1757341008,smartbench,small,2,36794,67891,104685,1,18
b339667b-304a-4990-af1d-ad90d5855611,STGraph,1757341022,1757341121,smartbench,small,2,35331,63513,98844,1,18
b339667b-304a-4990-af1d-ad90d5855611,STGraph,1757341136,1757341238,smartbench,small,2,37550,64235,101785,1,18
701ca0f4-8a26-447e-b3dc-6a6da8666a10,STGraph,1757341394,1757341488,smartbench,small,4,38355,55397,93752,1,18
701ca0f4-8a26-447e-b3dc-6a6da8666a10,STGraph,1757341504,1757341605,smartbench,small,4,38091,62966,101057,1,18
701ca0f4-8a26-447e-b3dc-6a6da8666a10,STGraph,1757341621,1757341718,smartbench,small,4,37617,59084,96701,1,18
701ca0f4-8a26-447e-b3dc-6a6da8666a10,STGraph,1757341733,1757341826,smartbench,small,4,36948,55824,92772,1,18
701ca0f4-8a26-447e-b3dc-6a6da8666a10,STGraph,1757341841,1757341927,smartbench,small,4,32558,53820,86378,1,18
4cdf6320-8798-4919-9835-5bda2c4f0536,STGraph,1757342019,1757342107,smartbench,small,6,34244,53013,87257,1,18
4cdf6320-8798-4919-9835-5bda2c4f0536,STGraph,1757342120,1757342206,smartbench,small,6,35603,50865,86468,1,18
4cdf6320-8798-4919-9835-5bda2c4f0536,STGraph,1757342223,1757342313,smartbench,small,6,38039,52489,90528,1,18
4cdf6320-8798-4919-9835-5bda2c4f0536,STGraph,1757342330,1757342420,smartbench,small,6,36326,53289,89615,1,18
4cdf6320-8798-4919-9835-5bda2c4f0536,STGraph,1757342435,1757342525,smartbench,small,6,37369,52766,90135,1,18
aa8226c4-b1a9-4a53-a9f5-b10c7b3cb6e1,STGraph,1757342600,1757342684,smartbench,small,8,36962,47364,84326,1,18
aa8226c4-b1a9-4a53-a9f5-b10c7b3cb6e1,STGraph,1757342699,1757342787,smartbench,small,8,36171,51675,87846,1,18
aa8226c4-b1a9-4a53-a9f5-b10c7b3cb6e1,STGraph,1757342800,1757342886,smartbench,small,8,35059,51107,86166,1,18
aa8226c4-b1a9-4a53-a9f5-b10c7b3cb6e1,STGraph,1757342903,1757342991,smartbench,small,8,35435,52717,88152,1,18
aa8226c4-b1a9-4a53-a9f5-b10c7b3cb6e1,STGraph,1757343023,1757343107,smartbench,small,8,35823,48214,84037,1,18
bfa1e9a8-ad48-404a-8573-1f2e0f734f41,STGraph,1757343171,1757343254,smartbench,small,10,36292,46730,83022,1,18
bfa1e9a8-ad48-404a-8573-1f2e0f734f41,STGraph,1757343268,1757343354,smartbench,small,10,37085,48850,85935,1,18
bfa1e9a8-ad48-404a-8573-1f2e0f734f41,STGraph,1757343384,1757343467,smartbench,small,10,36008,47747,83755,1,18
bfa1e9a8-ad48-404a-8573-1f2e0f734f41,STGraph,1757343508,1757343590,smartbench,small,10,34457,47490,81947,1,18
bfa1e9a8-ad48-404a-8573-1f2e0f734f41,STGraph,1757343631,1757343713,smartbench,small,10,35362,47048,82410,1,18
89064752-21f4-47e0-abff-9a8c230fb150,STGraph,1757343773,1757343856,smartbench,small,12,36807,46675,83482,1,18
89064752-21f4-47e0-abff-9a8c230fb150,STGraph,1757343870,1757343951,smartbench,small,12,36695,44330,81025,1,18
89064752-21f4-47e0-abff-9a8c230fb150,STGraph,1757343978,1757344059,smartbench,small,12,37048,43317,80365,1,18
89064752-21f4-47e0-abff-9a8c230fb150,STGraph,1757344088,1757344170,smartbench,small,12,36112,45403,81515,1,18
89064752-21f4-47e0-abff-9a8c230fb150,STGraph,1757344183,1757344262,smartbench,small,12,35887,43558,79445,1,18
0ecbdbc6-db26-4e3a-b0d2-5b2a3db705ff,STGraph,1757344340,1757344416,smartbench,small,16,35827,40182,76009,1,18
0ecbdbc6-db26-4e3a-b0d2-5b2a3db705ff,STGraph,1757344437,1757344514,smartbench,small,16,35433,41761,77194,1,18
0ecbdbc6-db26-4e3a-b0d2-5b2a3db705ff,STGraph,1757344530,1757344607,smartbench,small,16,34827,42332,77159,1,18
0ecbdbc6-db26-4e3a-b0d2-5b2a3db705ff,STGraph,1757344621,1757344701,smartbench,small,16,36581,42864,79445,1,18
0ecbdbc6-db26-4e3a-b0d2-5b2a3db705ff,STGraph,1757344715,1757344793,smartbench,small,16,35572,42038,77610,1,18
d21a9e75-032a-487f-a771-8d68f9ef3d8d,STGraph,1757344851,1757344931,smartbench,small,20,36975,42871,79846,1,18
d21a9e75-032a-487f-a771-8d68f9ef3d8d,STGraph,1757344944,1757345019,smartbench,small,20,35808,39387,75195,1,18
d21a9e75-032a-487f-a771-8d68f9ef3d8d,STGraph,1757345039,1757345113,smartbench,small,20,33686,40003,73689,1,18
d21a9e75-032a-487f-a771-8d68f9ef3d8d,STGraph,1757345127,1757345202,smartbench,small,20,34767,40197,74964,1,18
d21a9e75-032a-487f-a771-8d68f9ef3d8d,STGraph,1757345216,1757345291,smartbench,small,20,35686,39389,75075,1,18
d7613c6d-d072-406a-a2fe-a782804d7d0a,STGraph,1757345349,1757345424,smartbench,small,24,36056,39154,75210,1,18
d7613c6d-d072-406a-a2fe-a782804d7d0a,STGraph,1757345440,1757345517,smartbench,small,24,37207,40047,77254,1,18
d7613c6d-d072-406a-a2fe-a782804d7d0a,STGraph,1757345554,1757345631,smartbench,small,24,36967,39801,76768,1,18
d7613c6d-d072-406a-a2fe-a782804d7d0a,STGraph,1757345675,1757345755,smartbench,small,24,37254,42766,80020,1,18
d7613c6d-d072-406a-a2fe-a782804d7d0a,STGraph,1757345794,1757345868,smartbench,small,24,35824,38525,74349,1,18
ef9e72c5-4ac2-40e6-b731-9f9e721452d5,STGraph,1757345926,1757346001,smartbench,small,32,35085,39728,74813,1,18
ef9e72c5-4ac2-40e6-b731-9f9e721452d5,STGraph,1757346026,1757346100,smartbench,small,32,35275,38264,73539,1,18
ef9e72c5-4ac2-40e6-b731-9f9e721452d5,STGraph,1757346123,1757346199,smartbench,small,32,36464,39055,75519,1,18
ef9e72c5-4ac2-40e6-b731-9f9e721452d5,STGraph,1757346214,1757346290,smartbench,small,32,37104,39395,76499,1,18
ef9e72c5-4ac2-40e6-b731-9f9e721452d5,STGraph,1757346303,1757346383,smartbench,small,32,35675,44368,80043,1,18
8f843cb8-2e69-4094-9880-d8fdff16d7f8,STGraph,1757346443,1757346519,smartbench,small,64,36548,39181,75729,1,18
8f843cb8-2e69-4094-9880-d8fdff16d7f8,STGraph,1757346534,1757346610,smartbench,small,64,35000,40918,75918,1,18
8f843cb8-2e69-4094-9880-d8fdff16d7f8,STGraph,1757346630,1757346705,smartbench,small,64,34681,39703,74384,1,18
8f843cb8-2e69-4094-9880-d8fdff16d7f8,STGraph,1757346736,1757346811,smartbench,small,64,35830,39286,75116,1,18
8f843cb8-2e69-4094-9880-d8fdff16d7f8,STGraph,1757346827,1757346903,smartbench,small,64,35954,39691,75645,1,18
7f3e579a-d06c-44ac-a011-574ee6d525db,STGraph,1757346990,1757347066,smartbench,small,100,37047,39070,76117,1,18
7f3e579a-d06c-44ac-a011-574ee6d525db,STGraph,1757347103,1757347179,smartbench,small,100,37110,39145,76255,1,18
